"compound","SMILES"
"C9H13NO5","CC1(C)C(CC1C(=O)CC=O)ON(=O)=O"
"C13H18O6","CC(=O)CCC(=O)C(C)(C)C(=O)C(=O)C(=O)CCO"
"C6H12O2","CCCCOC(=O)C"
"C5H9NO6","CCC(C)(C(=O)OON(=O)=O)O"
"C15H26O3","C\C1=CCCC(CO)(C2CC(C)(C)C2CC1)OO"
"C4H8O3","CC(C)(C(=O)O)O"
"C6H8O3","CCC(=CC(=O)O)C=O"
"C10H14O3","CCC(=O)C=C(C)C1C(C)(C=O)O1"
"C8H10N2O10","CC1=C(C2(C(C(C)(C1(O)OO)OO2)O)N(=O)=O)N(=O)=O"
"C6H13NO4","CC(C)(C(C)(C)ON(=O)=O)O"
"C5H12O3","CC(C)C(COO)O"
"C8H10O2","Cc1ccc(C)c(c1O)O"
"C7H15NO3","CCCC(C)(CC)ON(=O)=O"
"C12H22O3","CCCCCCC(=O)C(CC(=O)CC)O"
"C6H10O3","CCCC(=O)OCC=O"
"C7H6O2","CC1=CC(=O)C=CC1=O"
"C13H20O3","C=C(CC=O)C1CC(C)(C)C1CCC(=O)O"
"C5H12O4","CC(C)(C(CO)OO)O"
"C4H4O4","C(=O)C1C(C(=O)O)O1"
"C2H3ClO4","C(C(=O)OO)(Cl)O"
"C7H12O3","CCCCOC(=O)C(=O)C"
"C4H4O2","C(=CC=O)C=O"
"C6H11NO6","CCC(C)(CC(=O)OON(=O)=O)O"
"C11H18O6","CCC12C=C(C)C(C(CC)(C1O)OO2)(O)OO"
"C6H11NO6","CCCCC(C(=O)OON(=O)=O)O"
"C6H11NO6","CCCC(CC(=O)OON(=O)=O)O"
"C8H12O6","CCC(=O)C(C(C1C(C=O)O1)O)OO"
"C6H10O5","CC(=O)C(C(C(=O)C)OO)O"
"C9H14O4","CC(C)C12C=CC(C(C1O)OO2)O"
"C5H10O","CCCC(=O)C"
"C3H5NO4","CC(=O)CON(=O)=O"
"C4H6O4","CC(=O)C(=O)COO"
"C7H16O","CCCCC(CC)O"
"C9H10O4","CCC(=C(C)C(=O)C=O)C(=O)C=O"
"C8H8O2","CCC1=CC(=O)C=CC1=O"
"C4H7NO6","C(=O)C(C(CON(=O)=O)O)O"
"C6H11NO5","CCC(=O)CC(CO)ON(=O)=O"
"C5H8O3","C(C=O)C(CC=O)O"
"C5H8O4","CC(=O)OCCC(=O)O"
"C9H13NO5","CC(C)(C1CC(=O)CCC1=O)ON(=O)=O"
"C6H8O4","C(C=O)C(C(=O)CC=O)O"
"C2H2ClNO4","C(C(=O)Cl)ON(=O)=O"
"C8H11NO8","CCC12C=CC(C(C1ON(=O)=O)OO2)(O)OO"
"C9H13NO7","CCC12C(C(C(=CC1(O)O)C)OO2)ON(=O)=O"
"C7H12O4","CC(=O)C(CC=O)CCOO"
"C5H11NO8","C(C(C(CO)(CO)OO)ON(=O)=O)O"
"C5H7NO5","CC(=O)CC(=O)CON(=O)=O"
"C6H9NO5","CC(=O)CC(=O)C(C)ON(=O)=O"
"C9H16O6","CC(=O)C(=O)CC(CO)C(C)(CO)OO"
"C4H6O4","C(C(=O)C(=O)CO)O"
"C6H10O2","C=C(C)C(=O)CCO"
"C6H10O2","CC(C(=O)C)C(=O)C"
"C5H8O4","CC(=O)C(CC(=O)O)O"
"C5H8O2","CC(=O)CCC=O"
"C6H12O3","CC(C)C(C(=O)C)OO"
"C6H6O2","c1ccc(cc1)OO"
"C8H11NO7","CC(=O)C(C(C1(C)C(C=O)O1)O)ON(=O)=O"
"C6H9NO6","C(CCC(=O)OON(=O)=O)CC=O"
"C6H11NO4","C=C(C)C(CCO)ON(=O)=O"
"C7H12O4","CCC(=O)C(CC(=O)C)OO"
"C10H16O4","C=C(CCC=O)C(=O)CC(C)(C)OO"
"C6H14O2","CC(C)OC(C)(C)O"
"C5H7NO6","C=C(CCO)C(=O)OON(=O)=O"
"C7H12O5","CC1C(C)(C(C)(C(=O)O1)OO)O"
"C7H10O6","CC(=O)C(CC(=O)CC(=O)OO)O"
"C6H14O2","CCOC(C)(C)CO"
"C12H19NO4","C=C(CCON(=O)=O)C1CC(C)(C)C1CC=O"
"C8H14O4","C=C(C)C(CCC(=O)O)COO"
"C8H12O4","CC1(C)C(=O)CCC(=O)C1OO"
"C11H18O4","CC1(C)CC(C1CCC(=O)OC)C(=O)O"
"C6H12O3","CC(C(=O)C)C(C)OO"
"C5H4O3","CC1=CC(=O)OC1=O"
"C4H4O5","C(C(=O)C=O)C(=O)OO"
"C7H12O5","CCC(=O)C(C(C(=O)C)OO)O"
"C8H14O4","CC(=O)CCC(=O)C(C)(C)OO"
"C9H11N3O12","CCCC12C(C(C=C(C1(O)OO)N(=O)=O)(N(=O)=O)OO2)ON(=O)=O"
"C5H8O2","CCC(=O)C(=O)C"
"C6H10O2","CCCC(=O)C(=O)C"
"C3H6O4","CC(C(=O)OO)O"
"C9H11N3O12","CCC12C(C(C(=C(C1(O)OO)N(=O)=O)C)(N(=O)=O)OO2)ON(=O)=O"
