"compound","SMILES"
"CH2O","C(=O)"
"CHNO3","C(=O)(N(=O)(=O))"
"C2HNO4","C(=O)(N(=O)(=O))C(=O)"
"C2HNO5","C(=O)(N(=O)(=O))C(=O)(O)"
"C2HNO6","C(=O)(N(=O)(=O))C(=O)(OO)"
"C3HNO6","C(=O)(N(=O)(=O))C(=O)C(=O)(O)"
"C3HNO7","C(=O)(N(=O)(=O))C(=O)C(=O)(OO)"
"C6H3NO9","C(=O)(N(=O)(=O))C(=O)C(=O)C(=O)C(O)C(=O)(O)"
"C6H3NO8","C(=O)(N(=O)(=O))C(=O)C(=O)C(=O)CC(=O)(O)"
"C7H5NO8","C(=O)(N(=O)(=O))C(=O)C(=O)C(O)(C)C(=O)C(=O)"
"C7H5NO9","C(=O)(N(=O)(=O))C(=O)C(=O)C(O)(C)C(=O)OC(=O)"
"C6H3NO9","C(=O)(N(=O)(=O))C(=O)C(=O)C(O)C(=O)C(=O)(O)"
"C6H5NO9","C(=O)(N(=O)(=O))C(=O)C(=O)C(O)C(O)C(=O)(O)"
"C6H5NO10","C(=O)(N(=O)(=O))C(=O)C(=O)C(O)C(OO)C(=O)(O)"
"C4H3NO7","C(=O)(N(=O)(=O))C(=O)C(=O)C(OO)"
"C6H5NO8","C(=O)(N(=O)(=O))C(=O)C(=O)C(OO)C(=O)C"
"C6H5NO10","C(=O)(N(=O)(=O))C(=O)C(=O)C(OO)C(O)C(=O)(O)"
"C7H4N2O12","C(=O)(N(=O)(=O))C(=O)C(=O)C1OOC(=O)C1(O)C(ON(=O)(=O))"
"C7H5NO11","C(=O)(N(=O)(=O))C(=O)C(=O)C1OOC(=O)C1(O)C(OO)"
"C6H3NO8","C(=O)(N(=O)(=O))C(=O)C(=O)C=CC(=O)(OO)"
"C6H3NO8","C(=O)(N(=O)(=O))C(=O)C(=O)OC(=O)C(=O)C"
"C6H3NO10","C(=O)(N(=O)(=O))C(=O)C(=O)OC(=O)C(=O)C(OO)"
"C5H3NO9","C(=O)(N(=O)(=O))C(=O)C(=O)OC(=O)C(OO)"
"C6H5NO10","C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C(O))C(=O)"
"C6H4N2O12","C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C(ON(=O)(=O)))C(=O)"
"C6H5NO11","C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C(OO))C(=O)"
"C6H5NO9","C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O)"
"C6H5NO10","C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O)(O)"
"C6H5NO11","C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O)(OO)"
"C6H4N2O13","C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O)(OON(=O)(=O))"
"C5H3NO9","C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)"
"C5H3NO11","C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)(OO)"
"C5H2N2O13","C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)(OON(=O)(=O))"
"C6H4N2O12","C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)C(ON(=O)(=O))"
"C6H5NO11","C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)C(OO)"
"C7H5NO10","C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O)(O))C(=O)C"
"C7H5NO11","C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O)(OO))C(=O)C"
"C6H3NO9","C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O))C(=O)"
"C7H5NO10","C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O))C(=O)C(O)"
"C7H4N2O12","C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O))C(=O)C(ON(=O)(=O))"
"C5H3NO9","C(=O)(N(=O)(=O))C(=O)C(C(=O)(O))OOC(=O)"
"C6H3NO10","C(=O)(N(=O)(=O))C(=O)C(C(=O)(O))OOC(=O)C(=O)"
"C6H3NO9","C(=O)(N(=O)(=O))C(=O)C(C(=O))OOC(=O)C(=O)"
"C7H4N2O12","C(=O)(N(=O)(=O))C(=O)C(C(=O)C(ON(=O)(=O)))OOC(=O)C(=O)"
"C6H5NO9","C(=O)(N(=O)(=O))C(=O)C(C(O))(C(=O))OOC(=O)"
"C7H5NO10","C(=O)(N(=O)(=O))C(=O)C(C(O))(C(=O))OOC(=O)C(=O)"
"C5H5NO6","C(=O)(N(=O)(=O))C(=O)C(C(O))C(=O)"
"C7H4N2O12","C(=O)(N(=O)(=O))C(=O)C(C(ON(=O)(=O)))(C(=O))OOC(=O)C(=O)"
"C6H5NO10","C(=O)(N(=O)(=O))C(=O)C(C(OO))(C(=O))OOC(=O)"
"C7H5NO11","C(=O)(N(=O)(=O))C(=O)C(C(OO))(C(=O))OOC(=O)C(=O)"
"C5H5NO7","C(=O)(N(=O)(=O))C(=O)C(C(OO))C(=O)"
"C6H5NO10","C(=O)(N(=O)(=O))C(=O)C(C(OO))C(=O)OOC(=O)"
"C6H5NO9","C(=O)(N(=O)(=O))C(=O)C(C)(C(=O)(O))OOC(=O)"
"C7H5NO10","C(=O)(N(=O)(=O))C(=O)C(C)(C(=O)(O))OOC(=O)C(=O)"
"C6H5NO10","C(=O)(N(=O)(=O))C(=O)C(C)(C(=O)(OO))OOC(=O)"
"C6H4N2O12","C(=O)(N(=O)(=O))C(=O)C(C)(C(=O)(OON(=O)(=O)))OOC(=O)"
"C6H5NO8","C(=O)(N(=O)(=O))C(=O)C(C)(C(=O))OOC(=O)"
"C7H5NO9","C(=O)(N(=O)(=O))C(=O)C(C)(C(=O))OOC(=O)C(=O)"
"C5H5NO6","C(=O)(N(=O)(=O))C(=O)C(C)C(=O)(O)"
"C5H5NO7","C(=O)(N(=O)(=O))C(=O)C(C)C(=O)(OO)"
"C7H4N2O11","C(=O)(N(=O)(=O))C(=O)C(C)C(=O)C(=O)C(=O)(OON(=O)(=O))"
"C6H5NO8","C(=O)(N(=O)(=O))C(=O)C(C)C(=O)OOC(=O)"
"C7H5NO10","C(=O)(N(=O)(=O))C(=O)C(C1(O))OOC1(C(=O)(O))C(=O)"
"C6H4N2O12","C(=O)(N(=O)(=O))C(=O)C(N(=O)(=O))(C1(O))OOC1C(=O)(OO)"
"C5H3NO8","C(=O)(N(=O)(=O))C(=O)C(O)(C(=O)(O))C(=O)"
"C5H5NO9","C(=O)(N(=O)(=O))C(=O)C(O)(C(=O)(O))C(OO)"
"C5H3NO9","C(=O)(N(=O)(=O))C(=O)C(O)(C(=O)(OO))C(=O)"
"C5H3NO9","C(=O)(N(=O)(=O))C(=O)C(O)(C(=O))OOC(=O)"
"C6H3NO10","C(=O)(N(=O)(=O))C(=O)C(O)(C(=O))OOC(=O)C(=O)"
"C5H4N2O11","C(=O)(N(=O)(=O))C(=O)C(O)(C(ON(=O)(=O)))C(=O)(OO)"
"C5H5NO10","C(=O)(N(=O)(=O))C(=O)C(O)(C(OO))C(=O)(OO)"
"C5H5NO6","C(=O)(N(=O)(=O))C(=O)C(O)(C)C(=O)"
"C5H5NO7","C(=O)(N(=O)(=O))C(=O)C(O)(C)C(=O)(O)"
"C5H5NO8","C(=O)(N(=O)(=O))C(=O)C(O)(C)C(=O)(OO)"
"C6H5NO9","C(=O)(N(=O)(=O))C(=O)C(O)(C)C(=O)OOC(=O)"
"C6H3NO9","C(=O)(N(=O)(=O))C(=O)C(O)(C1(=O))OOC1C(=O)"
"C6H5NO9","C(=O)(N(=O)(=O))C(=O)C(O)(C1(O))OOC1C(=O)"
"C7H7NO11","C(=O)(N(=O)(=O))C(=O)C(O)(C1(O)C(OO))OOC1C(=O)"
"C7H6N2O11","C(=O)(N(=O)(=O))C(=O)C(O)(ON(=O)(=O))C(O)(C)C(=O)C(=O)"
"C7H7NO10","C(=O)(N(=O)(=O))C(=O)C(O)(OO)C(O)(C)C(=O)C(=O)"
"C6H5NO10","C(=O)(N(=O)(=O))C(=O)C(O)(OO)C(O)C(=O)C(=O)"
"C4H3NO6","C(=O)(N(=O)(=O))C(=O)C(O)C(=O)"
"C4H3NO7","C(=O)(N(=O)(=O))C(=O)C(O)C(=O)(O)"
"C4H3NO8","C(=O)(N(=O)(=O))C(=O)C(O)C(=O)(OO)"
"C5H3NO9","C(=O)(N(=O)(=O))C(=O)C(O)C(=O)C(=O)(OO)"
"C5H4N2O11","C(=O)(N(=O)(=O))C(=O)C(ON(=O)(=O))(C(OO))OC(=O)"
"C7H6N2O12","C(=O)(N(=O)(=O))C(=O)C(ON(=O)(=O))C(=O)C(O)(C)C(=O)(OO)"
"C3H3NO6","C(=O)(N(=O)(=O))C(=O)C(OO)"
"C5H5NO9","C(=O)(N(=O)(=O))C(=O)C(OO)(C(O))OC(=O)"
"C6H5NO10","C(=O)(N(=O)(=O))C(=O)C(OO)(C(O))OC(=O)C(=O)"
"C5H4N2O11","C(=O)(N(=O)(=O))C(=O)C(OO)(C(ON(=O)(=O)))OC(=O)"
"C6H4N2O12","C(=O)(N(=O)(=O))C(=O)C(OO)(C(ON(=O)(=O)))OC(=O)C(=O)"
"C5H5NO9","C(=O)(N(=O)(=O))C(=O)C(OO)(C(OO))C(=O)"
"C5H5NO10","C(=O)(N(=O)(=O))C(=O)C(OO)(C(OO))OC(=O)"
"C6H5NO11","C(=O)(N(=O)(=O))C(=O)C(OO)(C(OO))OC(=O)C(=O)"
"C5H5NO7","C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(=O)"
"C5H5NO9","C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(=O)(OO)"
"C5H4N2O11","C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(=O)(OON(=O)(=O))"
"C7H5NO9","C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(=O)C(=O)C(=O)"
"C6H5NO10","C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(=O)OOC(=O)"
