,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,271
12,0
13,0
14,0
15,15
16,162
17,1
18,0
19,180
20,0
21,3
22,162
23,0
24,1030
25,0
26,0
27,0
28,46
29,0
30,0
31,0
32,0
33,0
34,222
35,0
36,0
37,0
38,0
39,3
40,6
41,0
42,0
43,33
44,0
45,47
46,11
47,0
48,939
49,1030
50,468
51,11
52,0
53,450
54,300
55,10
56,119
57,419
58,10
59,0
60,11
61,11
62,0
63,1030
64,0
65,0
66,1258
67,11
68,0
69,1207
70,1030
71,1030
72,2238
73,11
74,818
75,0
76,499
77,0
78,0
79,6
80,39
81,0
82,683
83,257
84,0
85,0
86,50
87,0
88,15
89,1976
90,1150
91,896
92,41
93,99
94,1030
95,144
96,262
97,779
98,0
99,751
100,1
101,24
102,2070
103,104
104,969
105,253
106,979
107,89
108,911
109,1159
110,42
111,218
112,1324
113,116
114,892
115,1211
116,1429
117,326
118,1021
119,1030
120,185
121,0
122,1030
123,1272
124,2070
125,0
126,2140
127,603
128,581
129,799
130,1071
131,1013
132,2153
133,112
134,115
135,56
136,1764
137,419
138,202
139,2588
140,1983
141,551
142,105
143,603
144,142
145,44
146,2718
147,1022
148,1039
149,1927
150,862
151,0
152,2649
153,1187
154,2412
155,2328
156,118
157,3074
158,119
159,3162
160,2959
161,1030
162,229
163,576
164,3333
165,1037
166,0
